"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hezardastan",,,,"User:","erfan"
"Cmdline:","dstat -lcmdrsyTt --full --out memcached/dtat-result-orginal.csv",,,,"Date:","31 May 2022 11:48:10 +0430"
"load avg",,,"total cpu usage",,,,,"memory usage",,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop10",,"dsk/loop11",,"dsk/loop12",,"dsk/loop13",,"dsk/loop14",,"dsk/loop15",,"dsk/loop16",,"dsk/loop17",,"dsk/loop18",,"dsk/loop19",,"dsk/loop2",,"dsk/loop20",,"dsk/loop21",,"dsk/loop22",,"dsk/loop23",,"dsk/loop24",,"dsk/loop25",,"dsk/loop26",,"dsk/loop27",,"dsk/loop28",,"dsk/loop29",,"dsk/loop3",,"dsk/loop30",,"dsk/loop31",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/loop8",,"dsk/loop9",,"dsk/sda",,"dsk/sdb",,"io/loop0",,"io/loop1",,"io/loop10",,"io/loop11",,"io/loop12",,"io/loop13",,"io/loop14",,"io/loop15",,"io/loop16",,"io/loop17",,"io/loop18",,"io/loop19",,"io/loop2",,"io/loop20",,"io/loop21",,"io/loop22",,"io/loop23",,"io/loop24",,"io/loop25",,"io/loop26",,"io/loop27",,"io/loop28",,"io/loop29",,"io/loop3",,"io/loop30",,"io/loop31",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/loop8",,"io/loop9",,"io/sda",,"io/sdb",,"swap",,"system",,"epoch","system"
"1m","5m","15m","usr","sys","idl","wai","stl","used","free","buff","cach","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop10:read","dsk/loop10:writ","dsk/loop11:read","dsk/loop11:writ","dsk/loop12:read","dsk/loop12:writ","dsk/loop13:read","dsk/loop13:writ","dsk/loop14:read","dsk/loop14:writ","dsk/loop15:read","dsk/loop15:writ","dsk/loop16:read","dsk/loop16:writ","dsk/loop17:read","dsk/loop17:writ","dsk/loop18:read","dsk/loop18:writ","dsk/loop19:read","dsk/loop19:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop20:read","dsk/loop20:writ","dsk/loop21:read","dsk/loop21:writ","dsk/loop22:read","dsk/loop22:writ","dsk/loop23:read","dsk/loop23:writ","dsk/loop24:read","dsk/loop24:writ","dsk/loop25:read","dsk/loop25:writ","dsk/loop26:read","dsk/loop26:writ","dsk/loop27:read","dsk/loop27:writ","dsk/loop28:read","dsk/loop28:writ","dsk/loop29:read","dsk/loop29:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop30:read","dsk/loop30:writ","dsk/loop31:read","dsk/loop31:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/loop8:read","dsk/loop8:writ","dsk/loop9:read","dsk/loop9:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop10:read","io/loop10:writ","io/loop11:read","io/loop11:writ","io/loop12:read","io/loop12:writ","io/loop13:read","io/loop13:writ","io/loop14:read","io/loop14:writ","io/loop15:read","io/loop15:writ","io/loop16:read","io/loop16:writ","io/loop17:read","io/loop17:writ","io/loop18:read","io/loop18:writ","io/loop19:read","io/loop19:writ","io/loop2:read","io/loop2:writ","io/loop20:read","io/loop20:writ","io/loop21:read","io/loop21:writ","io/loop22:read","io/loop22:writ","io/loop23:read","io/loop23:writ","io/loop24:read","io/loop24:writ","io/loop25:read","io/loop25:writ","io/loop26:read","io/loop26:writ","io/loop27:read","io/loop27:writ","io/loop28:read","io/loop28:writ","io/loop29:read","io/loop29:writ","io/loop3:read","io/loop3:writ","io/loop30:read","io/loop30:writ","io/loop31:read","io/loop31:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/loop8:read","io/loop8:writ","io/loop9:read","io/loop9:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","used","free","int","csw","epoch","time"
0.930,1.610,1.440,7.777,2.811,89.184,0.228,0,4147683328,4595679232,487772160,7155855360,255.799,0,12.021,0,258.444,0,4140.630,0,79.817,0,81.740,0,257.242,0,272.869,0,1.923,0,256.040,0,12.021,0,11.299,0,85.827,0,81.260,0,256.761,0,42.072,0,263.492,0,20.195,0,26.926,0,254.357,0,267.339,0,251.953,0,251.953,0,255.559,0,250.991,0,1.923,0,25.484,0,80.057,0,27.407,0,78.855,0,257.963,0,254.116,0,2156.022,0,706694.006,4553914.565,0.011,0,0.005,0,0.012,0,3.803,0,0.008,0,0.010,0,0.012,0,0.030,0,0.001,0,0.012,0,0.005,0,0.004,0,0.011,0,0.009,0,0.011,0,0.012,0,0.015,0,0.006,0,0.008,0,0.012,0,0.009,0,0.011,0,0.013,0,0.011,0,0.011,0,0.001,0,0.008,0,0.009,0,0.009,0,0.008,0,0.014,0,0.012,0,0.060,0,20.344,51.647,0,2147479552,3537.895,20360.611,1653981490.421,31-05 11:48:10
0.930,1.610,1.440,11.269,4.841,82.805,1.085,0,4264251392,4455546880,487911424,7200845824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69632,31657984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,645,0,2147479552,9247,21938,1653981491.422,31-05 11:48:11
0.930,1.610,1.440,2.431,1.090,96.396,0.084,0,4196560896,4523110400,487936000,7188267008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2147479552,3296,6414,1653981492.421,31-05 11:48:12
0.930,1.610,1.440,3.191,1.595,95.130,0.084,0,4150255616,4569292800,487968768,7178235904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2147479552,3576,7234,1653981493.422,31-05 11:48:13
0.930,1.610,1.440,30.776,24.283,44.941,0,0,4153622528,4565442560,487968768,7178309632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147479552,5280,117911,1653981494.422,31-05 11:48:14
1.490,1.720,1.470,33.722,30.142,36.053,0.083,0,4153085952,4565909504,487997440,7178326016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2147479552,5144,112392,1653981495.422,31-05 11:48:15
1.490,1.720,1.470,34.925,29.732,35.343,0,0,4151177216,4567769088,488005632,7178358784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2147479552,5175,87632,1653981496.422,31-05 11:48:16
1.490,1.720,1.470,35.887,29.559,34.555,0,0,4151799808,4566941696,488013824,7178539008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2147479552,5178,67910,1653981497.421,31-05 11:48:17
1.490,1.720,1.470,33.920,29.397,36.683,0,0,4152029184,4566687744,488013824,7176466432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147479552,5137,116861,1653981498.422,31-05 11:48:18
