"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hezardastan",,,,"User:","erfan"
"Cmdline:","dstat -lcmdrsyTt --full --out mongo/dtat-result-orginal.csv",,,,"Date:","31 May 2022 00:34:15 +0430"
"load avg",,,"total cpu usage",,,,,"memory usage",,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop10",,"dsk/loop11",,"dsk/loop12",,"dsk/loop13",,"dsk/loop14",,"dsk/loop15",,"dsk/loop16",,"dsk/loop17",,"dsk/loop18",,"dsk/loop19",,"dsk/loop2",,"dsk/loop20",,"dsk/loop21",,"dsk/loop22",,"dsk/loop23",,"dsk/loop24",,"dsk/loop25",,"dsk/loop26",,"dsk/loop27",,"dsk/loop28",,"dsk/loop29",,"dsk/loop3",,"dsk/loop30",,"dsk/loop31",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/loop8",,"dsk/loop9",,"dsk/sda",,"dsk/sdb",,"io/loop0",,"io/loop1",,"io/loop10",,"io/loop11",,"io/loop12",,"io/loop13",,"io/loop14",,"io/loop15",,"io/loop16",,"io/loop17",,"io/loop18",,"io/loop19",,"io/loop2",,"io/loop20",,"io/loop21",,"io/loop22",,"io/loop23",,"io/loop24",,"io/loop25",,"io/loop26",,"io/loop27",,"io/loop28",,"io/loop29",,"io/loop3",,"io/loop30",,"io/loop31",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/loop8",,"io/loop9",,"io/sda",,"io/sdb",,"swap",,"system",,"epoch","system"
"1m","5m","15m","usr","sys","idl","wai","stl","used","free","buff","cach","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop10:read","dsk/loop10:writ","dsk/loop11:read","dsk/loop11:writ","dsk/loop12:read","dsk/loop12:writ","dsk/loop13:read","dsk/loop13:writ","dsk/loop14:read","dsk/loop14:writ","dsk/loop15:read","dsk/loop15:writ","dsk/loop16:read","dsk/loop16:writ","dsk/loop17:read","dsk/loop17:writ","dsk/loop18:read","dsk/loop18:writ","dsk/loop19:read","dsk/loop19:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop20:read","dsk/loop20:writ","dsk/loop21:read","dsk/loop21:writ","dsk/loop22:read","dsk/loop22:writ","dsk/loop23:read","dsk/loop23:writ","dsk/loop24:read","dsk/loop24:writ","dsk/loop25:read","dsk/loop25:writ","dsk/loop26:read","dsk/loop26:writ","dsk/loop27:read","dsk/loop27:writ","dsk/loop28:read","dsk/loop28:writ","dsk/loop29:read","dsk/loop29:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop30:read","dsk/loop30:writ","dsk/loop31:read","dsk/loop31:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/loop8:read","dsk/loop8:writ","dsk/loop9:read","dsk/loop9:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop10:read","io/loop10:writ","io/loop11:read","io/loop11:writ","io/loop12:read","io/loop12:writ","io/loop13:read","io/loop13:writ","io/loop14:read","io/loop14:writ","io/loop15:read","io/loop15:writ","io/loop16:read","io/loop16:writ","io/loop17:read","io/loop17:writ","io/loop18:read","io/loop18:writ","io/loop19:read","io/loop19:writ","io/loop2:read","io/loop2:writ","io/loop20:read","io/loop20:writ","io/loop21:read","io/loop21:writ","io/loop22:read","io/loop22:writ","io/loop23:read","io/loop23:writ","io/loop24:read","io/loop24:writ","io/loop25:read","io/loop25:writ","io/loop26:read","io/loop26:writ","io/loop27:read","io/loop27:writ","io/loop28:read","io/loop28:writ","io/loop29:read","io/loop29:writ","io/loop3:read","io/loop3:writ","io/loop30:read","io/loop30:writ","io/loop31:read","io/loop31:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/loop8:read","io/loop8:writ","io/loop9:read","io/loop9:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","used","free","int","csw","epoch","time"
0.460,1.320,1.670,5.704,1.696,92.417,0.182,0,5104766976,1037348864,1907703808,6578634752,2.952,0,32.573,0,42.430,0,1.440,0,8.052,0,52.751,0,1.464,0,0.195,0,13.273,0,32.915,0,1.220,0,36.770,0,36.623,0,32.963,0,15.786,0,3.001,0,35.940,0,3.245,0,29.303,0,32.549,0,663.463,0,1.220,0,27.913,0,13.517,0,31.573,0,0.195,0,36.135,0,3.635,0,13.249,0,8.003,0,44.943,0,57.045,0,218.812,0,1720716.936,3138607.968,0.001,0,0.008,0,0.017,0,0.001,0,0.001,0,0.027,0,0.001,0,0.000,0,0.006,0,0.008,0,0.000,0,0.012,0,0.012,0,0.008,0,0.007,0,0.001,0,0.011,0,0.001,0,0.005,0,0.008,0,0.623,0,0.000,0,0.003,0,0.006,0,0.007,0,0.000,0,0.011,0,0.001,0,0.006,0,0.001,0,0.019,0,0.032,0,0.006,0,28.934,36.444,1024413696,1123065856,5361.134,30005.171,1653941055.904,31-05 00:34:15
0.500,1.320,1.660,8.291,3.099,87.353,1.256,0,5210894336,907431936,1907802112,6625570816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53248,30896128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,598,1024413696,1123065856,7213,20172,1653941056.905,31-05 00:34:16
0.500,1.320,1.660,5.597,2.005,91.980,0.418,0,5241036800,876580864,1907908608,6610173952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,716800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,1024413696,1123065856,2238,5061,1653941057.905,31-05 00:34:17
0.500,1.320,1.660,1.926,0.838,97.069,0.168,0,5172056064,945582080,1907929088,6597775360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1024413696,1123065856,2256,5730,1653941058.905,31-05 00:34:18
0.500,1.320,1.660,0.668,0.334,98.997,0,0,5171613696,946008064,1907929088,6597808128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024413696,1123065856,502,1189,1653941059.905,31-05 00:34:19
0.500,1.320,1.660,0.418,0.251,99.331,0,0,5167620096,950001664,1907929088,6597808128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024413696,1123065856,427,1052,1653941060.905,31-05 00:34:20
0.460,1.300,1.650,14.573,3.769,81.156,0.503,0,5193482240,923377664,1908031488,6597857280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1024413696,1123065856,1880,187820,1653941061.905,31-05 00:34:21
0.460,1.300,1.650,32.143,6.718,61.139,0,0,5194612736,922234880,1908031488,6597869568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024413696,1123065856,2508,559315,1653941062.905,31-05 00:34:22
0.460,1.300,1.650,32.678,5.731,61.591,0,0,5194874880,921972736,1908031488,6597869568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024413696,1123065856,2645,566050,1653941063.905,31-05 00:34:23
