"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hezardastan",,,,"User:","erfan"
"Cmdline:","dstat -lcmdrsyTt --full --out mongo/dtat-result-slim.csv",,,,"Date:","31 May 2022 00:27:00 +0430"
"load avg",,,"total cpu usage",,,,,"memory usage",,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop10",,"dsk/loop11",,"dsk/loop12",,"dsk/loop13",,"dsk/loop14",,"dsk/loop15",,"dsk/loop16",,"dsk/loop17",,"dsk/loop18",,"dsk/loop19",,"dsk/loop2",,"dsk/loop20",,"dsk/loop21",,"dsk/loop22",,"dsk/loop23",,"dsk/loop24",,"dsk/loop25",,"dsk/loop26",,"dsk/loop27",,"dsk/loop28",,"dsk/loop29",,"dsk/loop3",,"dsk/loop30",,"dsk/loop31",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/loop8",,"dsk/loop9",,"dsk/sda",,"dsk/sdb",,"io/loop0",,"io/loop1",,"io/loop10",,"io/loop11",,"io/loop12",,"io/loop13",,"io/loop14",,"io/loop15",,"io/loop16",,"io/loop17",,"io/loop18",,"io/loop19",,"io/loop2",,"io/loop20",,"io/loop21",,"io/loop22",,"io/loop23",,"io/loop24",,"io/loop25",,"io/loop26",,"io/loop27",,"io/loop28",,"io/loop29",,"io/loop3",,"io/loop30",,"io/loop31",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/loop8",,"io/loop9",,"io/sda",,"io/sdb",,"swap",,"system",,"epoch","system"
"1m","5m","15m","usr","sys","idl","wai","stl","used","free","buff","cach","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop10:read","dsk/loop10:writ","dsk/loop11:read","dsk/loop11:writ","dsk/loop12:read","dsk/loop12:writ","dsk/loop13:read","dsk/loop13:writ","dsk/loop14:read","dsk/loop14:writ","dsk/loop15:read","dsk/loop15:writ","dsk/loop16:read","dsk/loop16:writ","dsk/loop17:read","dsk/loop17:writ","dsk/loop18:read","dsk/loop18:writ","dsk/loop19:read","dsk/loop19:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop20:read","dsk/loop20:writ","dsk/loop21:read","dsk/loop21:writ","dsk/loop22:read","dsk/loop22:writ","dsk/loop23:read","dsk/loop23:writ","dsk/loop24:read","dsk/loop24:writ","dsk/loop25:read","dsk/loop25:writ","dsk/loop26:read","dsk/loop26:writ","dsk/loop27:read","dsk/loop27:writ","dsk/loop28:read","dsk/loop28:writ","dsk/loop29:read","dsk/loop29:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop30:read","dsk/loop30:writ","dsk/loop31:read","dsk/loop31:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/loop8:read","dsk/loop8:writ","dsk/loop9:read","dsk/loop9:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop10:read","io/loop10:writ","io/loop11:read","io/loop11:writ","io/loop12:read","io/loop12:writ","io/loop13:read","io/loop13:writ","io/loop14:read","io/loop14:writ","io/loop15:read","io/loop15:writ","io/loop16:read","io/loop16:writ","io/loop17:read","io/loop17:writ","io/loop18:read","io/loop18:writ","io/loop19:read","io/loop19:writ","io/loop2:read","io/loop2:writ","io/loop20:read","io/loop20:writ","io/loop21:read","io/loop21:writ","io/loop22:read","io/loop22:writ","io/loop23:read","io/loop23:writ","io/loop24:read","io/loop24:writ","io/loop25:read","io/loop25:writ","io/loop26:read","io/loop26:writ","io/loop27:read","io/loop27:writ","io/loop28:read","io/loop28:writ","io/loop29:read","io/loop29:writ","io/loop3:read","io/loop3:writ","io/loop30:read","io/loop30:writ","io/loop31:read","io/loop31:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/loop8:read","io/loop8:writ","io/loop9:read","io/loop9:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","used","free","int","csw","epoch","time"
2.230,2.270,1.830,5.646,1.687,92.484,0.183,0,5131964416,1016512512,1904431104,6586982400,2.983,0,32.915,0,42.875,0,1.455,0,8.136,0,53.305,0,1.479,0,0.197,0,13.412,0,33.260,0,1.233,0,37.155,0,37.008,0,33.309,0,15.952,0,3.033,0,36.317,0,3.279,0,29.611,0,32.890,0,670.425,0,1.233,0,28.206,0,13.659,0,31.904,0,0.197,0,36.514,0,3.674,0,13.388,0,8.087,0,45.415,0,57.644,0,221.108,0,1738761.381,3167295.345,0.001,0,0.008,0,0.017,0,0.001,0,0.001,0,0.027,0,0.001,0,0.000,0,0.006,0,0.008,0,0.000,0,0.012,0,0.012,0,0.008,0,0.007,0,0.001,0,0.012,0,0.001,0,0.005,0,0.008,0,0.630,0,0.000,0,0.003,0,0.006,0,0.007,0,0.000,0,0.012,0,0.001,0,0.006,0,0.001,0,0.020,0,0.032,0,0.006,0,29.237,36.638,1024413696,1123065856,5400.429,28443.952,1653940620.085,31-05 00:27:00
2.290,2.280,1.840,8.124,4.020,87.521,0.335,0,5295132672,830144512,1904447488,6652293120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94208,946176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,153,1024413696,1123065856,6908,19698,1653940621.086,31-05 00:27:01
2.290,2.280,1.840,7.454,2.345,89.782,0.419,0,5302648832,821805056,1904521216,6641094656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1024413696,1123065856,3621,9488,1653940622.086,31-05 00:27:02
2.290,2.280,1.840,21.235,4.738,73.181,0.846,0,5249568768,873959424,1904627712,6601875456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1024413696,1123065856,3567,249872,1653940623.086,31-05 00:27:03
2.290,2.280,1.840,31.949,7.034,61.017,0,0,5246861312,876666880,1904627712,6598946816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024413696,1123065856,3213,546050,1653940624.086,31-05 00:27:04
2.290,2.280,1.840,32.061,6.785,61.154,0,0,5218934784,904593408,1904627712,6598729728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024413696,1123065856,3352,553602,1653940625.086,31-05 00:27:05
2.510,2.330,1.850,31.726,7.191,61.083,0,0,5219061760,904466432,1904627712,6598729728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024413696,1123065856,2669,561350,1653940626.086,31-05 00:27:06
2.510,2.330,1.850,32.219,6.255,61.525,0,0,5217333248,906194944,1904627712,6598729728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024413696,1123065856,2929,554229,1653940627.086,31-05 00:27:07
2.510,2.330,1.850,31.799,6.735,61.466,0,0,5217189888,906338304,1904627712,6598729728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024413696,1123065856,2965,575710,1653940628.086,31-05 00:27:08
