"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hezardastan",,,,"User:","erfan"
"Cmdline:","dstat -lcmdrsyTt --full --out nginx/dtat-result-orginal.csv",,,,"Date:","31 May 2022 12:39:46 +0430"
"load avg",,,"total cpu usage",,,,,"memory usage",,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop10",,"dsk/loop11",,"dsk/loop12",,"dsk/loop13",,"dsk/loop14",,"dsk/loop15",,"dsk/loop16",,"dsk/loop17",,"dsk/loop18",,"dsk/loop19",,"dsk/loop2",,"dsk/loop20",,"dsk/loop21",,"dsk/loop22",,"dsk/loop23",,"dsk/loop24",,"dsk/loop25",,"dsk/loop26",,"dsk/loop27",,"dsk/loop28",,"dsk/loop29",,"dsk/loop3",,"dsk/loop30",,"dsk/loop31",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/loop8",,"dsk/loop9",,"dsk/sda",,"dsk/sdb",,"io/loop0",,"io/loop1",,"io/loop10",,"io/loop11",,"io/loop12",,"io/loop13",,"io/loop14",,"io/loop15",,"io/loop16",,"io/loop17",,"io/loop18",,"io/loop19",,"io/loop2",,"io/loop20",,"io/loop21",,"io/loop22",,"io/loop23",,"io/loop24",,"io/loop25",,"io/loop26",,"io/loop27",,"io/loop28",,"io/loop29",,"io/loop3",,"io/loop30",,"io/loop31",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/loop8",,"io/loop9",,"io/sda",,"io/sdb",,"swap",,"system",,"epoch","system"
"1m","5m","15m","usr","sys","idl","wai","stl","used","free","buff","cach","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop10:read","dsk/loop10:writ","dsk/loop11:read","dsk/loop11:writ","dsk/loop12:read","dsk/loop12:writ","dsk/loop13:read","dsk/loop13:writ","dsk/loop14:read","dsk/loop14:writ","dsk/loop15:read","dsk/loop15:writ","dsk/loop16:read","dsk/loop16:writ","dsk/loop17:read","dsk/loop17:writ","dsk/loop18:read","dsk/loop18:writ","dsk/loop19:read","dsk/loop19:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop20:read","dsk/loop20:writ","dsk/loop21:read","dsk/loop21:writ","dsk/loop22:read","dsk/loop22:writ","dsk/loop23:read","dsk/loop23:writ","dsk/loop24:read","dsk/loop24:writ","dsk/loop25:read","dsk/loop25:writ","dsk/loop26:read","dsk/loop26:writ","dsk/loop27:read","dsk/loop27:writ","dsk/loop28:read","dsk/loop28:writ","dsk/loop29:read","dsk/loop29:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop30:read","dsk/loop30:writ","dsk/loop31:read","dsk/loop31:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/loop8:read","dsk/loop8:writ","dsk/loop9:read","dsk/loop9:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop10:read","io/loop10:writ","io/loop11:read","io/loop11:writ","io/loop12:read","io/loop12:writ","io/loop13:read","io/loop13:writ","io/loop14:read","io/loop14:writ","io/loop15:read","io/loop15:writ","io/loop16:read","io/loop16:writ","io/loop17:read","io/loop17:writ","io/loop18:read","io/loop18:writ","io/loop19:read","io/loop19:writ","io/loop2:read","io/loop2:writ","io/loop20:read","io/loop20:writ","io/loop21:read","io/loop21:writ","io/loop22:read","io/loop22:writ","io/loop23:read","io/loop23:writ","io/loop24:read","io/loop24:writ","io/loop25:read","io/loop25:writ","io/loop26:read","io/loop26:writ","io/loop27:read","io/loop27:writ","io/loop28:read","io/loop28:writ","io/loop29:read","io/loop29:writ","io/loop3:read","io/loop3:writ","io/loop30:read","io/loop30:writ","io/loop31:read","io/loop31:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/loop8:read","io/loop8:writ","io/loop9:read","io/loop9:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","used","free","int","csw","epoch","time"
1.750,4.680,2.600,5.938,2.187,91.733,0.142,0,5470953472,5679263744,498339840,4875546624,148.118,0,6.960,0,149.649,0,2397.592,0,46.217,0,47.331,0,148.953,0,158.002,0,1.114,0,148.257,0,6.960,0,6.543,0,49.698,0,47.053,0,148.675,0,24.362,0,152.573,0,11.694,0,15.591,0,147.283,0,154.800,0,145.891,0,145.891,0,147.979,0,145.334,0,1.114,0,14.756,0,46.357,0,15.870,0,45.660,0,149.371,0,147.144,0,1248.424,0,431474.983,2733293.025,0.006,0,0.003,0,0.007,0,2.202,0,0.005,0,0.006,0,0.007,0,0.017,0,0.001,0,0.007,0,0.003,0,0.002,0,0.006,0,0.005,0,0.007,0,0.007,0,0.009,0,0.004,0,0.005,0,0.007,0,0.005,0,0.006,0,0.007,0,0.006,0,0.007,0,0.001,0,0.005,0,0.005,0,0.005,0,0.004,0,0.008,0,0.007,0,0.035,0,12.515,34.483,524288,2146955264,2820.027,14274.699,1653984586.939,31-05 12:39:46
1.690,4.620,2.590,10,3.193,84.958,1.849,0,5657133056,5470060544,498569216,4922777600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81920,31715328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,481,524288,2146955264,6748,18487,1653984587.940,31-05 12:39:47
1.690,4.620,2.590,36.179,24.345,39.476,0,0,7366914048,3757129728,498630656,4910452736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36864,335872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,524288,2146955264,15867,52595,1653984588.940,31-05 12:39:48
1.690,4.620,2.590,54.470,37.176,8.354,0,0,9681133568,1439670272,498704384,4896440320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,524288,2146955264,23289,74259,1653984589.940,31-05 12:39:49
1.690,4.620,2.590,43.168,42.163,14.669,0,0,8983289856,2135494656,498704384,4894531584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,2146955264,21523,78090,1653984590.940,31-05 12:39:50
1.690,4.620,2.590,42.701,45.134,12.164,0,0,6723002368,4398346240,498704384,4894982144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,2146955264,22012,82211,1653984591.940,31-05 12:39:51
7.400,5.750,2.970,51.520,43.159,5.321,0,0,5648203776,5475856384,498704384,4895387648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,2146955264,25297,88871,1653984592.940,31-05 12:39:52
7.400,5.750,2.970,45.743,37.563,16.694,0,0,5543624704,5580476416,498704384,4895637504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,2146955264,22863,76151,1653984593.940,31-05 12:39:53
7.400,5.750,2.970,52.843,38.545,8.612,0,0,5705277440,5418569728,498716672,4895862784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,524288,2146955264,24241,83416,1653984594.939,31-05 12:39:54
