"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hezardastan",,,,"User:","erfan"
"Cmdline:","dstat -lcmdrsyTt --full --out nginx/dtat-result-slim.csv",,,,"Date:","31 May 2022 12:40:22 +0430"
"load avg",,,"total cpu usage",,,,,"memory usage",,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop10",,"dsk/loop11",,"dsk/loop12",,"dsk/loop13",,"dsk/loop14",,"dsk/loop15",,"dsk/loop16",,"dsk/loop17",,"dsk/loop18",,"dsk/loop19",,"dsk/loop2",,"dsk/loop20",,"dsk/loop21",,"dsk/loop22",,"dsk/loop23",,"dsk/loop24",,"dsk/loop25",,"dsk/loop26",,"dsk/loop27",,"dsk/loop28",,"dsk/loop29",,"dsk/loop3",,"dsk/loop30",,"dsk/loop31",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/loop8",,"dsk/loop9",,"dsk/sda",,"dsk/sdb",,"io/loop0",,"io/loop1",,"io/loop10",,"io/loop11",,"io/loop12",,"io/loop13",,"io/loop14",,"io/loop15",,"io/loop16",,"io/loop17",,"io/loop18",,"io/loop19",,"io/loop2",,"io/loop20",,"io/loop21",,"io/loop22",,"io/loop23",,"io/loop24",,"io/loop25",,"io/loop26",,"io/loop27",,"io/loop28",,"io/loop29",,"io/loop3",,"io/loop30",,"io/loop31",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/loop8",,"io/loop9",,"io/sda",,"io/sdb",,"swap",,"system",,"epoch","system"
"1m","5m","15m","usr","sys","idl","wai","stl","used","free","buff","cach","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop10:read","dsk/loop10:writ","dsk/loop11:read","dsk/loop11:writ","dsk/loop12:read","dsk/loop12:writ","dsk/loop13:read","dsk/loop13:writ","dsk/loop14:read","dsk/loop14:writ","dsk/loop15:read","dsk/loop15:writ","dsk/loop16:read","dsk/loop16:writ","dsk/loop17:read","dsk/loop17:writ","dsk/loop18:read","dsk/loop18:writ","dsk/loop19:read","dsk/loop19:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop20:read","dsk/loop20:writ","dsk/loop21:read","dsk/loop21:writ","dsk/loop22:read","dsk/loop22:writ","dsk/loop23:read","dsk/loop23:writ","dsk/loop24:read","dsk/loop24:writ","dsk/loop25:read","dsk/loop25:writ","dsk/loop26:read","dsk/loop26:writ","dsk/loop27:read","dsk/loop27:writ","dsk/loop28:read","dsk/loop28:writ","dsk/loop29:read","dsk/loop29:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop30:read","dsk/loop30:writ","dsk/loop31:read","dsk/loop31:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/loop8:read","dsk/loop8:writ","dsk/loop9:read","dsk/loop9:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop10:read","io/loop10:writ","io/loop11:read","io/loop11:writ","io/loop12:read","io/loop12:writ","io/loop13:read","io/loop13:writ","io/loop14:read","io/loop14:writ","io/loop15:read","io/loop15:writ","io/loop16:read","io/loop16:writ","io/loop17:read","io/loop17:writ","io/loop18:read","io/loop18:writ","io/loop19:read","io/loop19:writ","io/loop2:read","io/loop2:writ","io/loop20:read","io/loop20:writ","io/loop21:read","io/loop21:writ","io/loop22:read","io/loop22:writ","io/loop23:read","io/loop23:writ","io/loop24:read","io/loop24:writ","io/loop25:read","io/loop25:writ","io/loop26:read","io/loop26:writ","io/loop27:read","io/loop27:writ","io/loop28:read","io/loop28:writ","io/loop29:read","io/loop29:writ","io/loop3:read","io/loop3:writ","io/loop30:read","io/loop30:writ","io/loop31:read","io/loop31:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/loop8:read","io/loop8:writ","io/loop9:read","io/loop9:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","used","free","int","csw","epoch","time"
32.360,12.380,5.290,6.080,2.354,91.424,0.142,0,5410185216,5735948288,498880512,4872794112,147.413,0,6.927,0,148.937,0,2386.177,0,45.997,0,47.106,0,148.244,0,157.250,0,1.108,0,147.551,0,6.927,0,6.512,0,49.461,0,46.829,0,147.967,0,24.246,0,151.846,0,11.638,0,15.517,0,146.582,0,154.063,0,145.196,0,145.196,0,147.274,0,144.642,0,1.108,0,14.686,0,46.136,0,15.794,0,45.443,0,148.660,0,146.443,0,1242.480,0,429448.369,2726232.411,0.006,0,0.003,0,0.007,0,2.191,0,0.005,0,0.006,0,0.007,0,0.017,0,0.001,0,0.007,0,0.003,0,0.002,0,0.006,0,0.005,0,0.006,0,0.007,0,0.009,0,0.004,0,0.005,0,0.007,0,0.005,0,0.006,0,0.007,0,0.006,0,0.006,0,0.001,0,0.005,0,0.005,0,0.005,0,0.004,0,0.008,0,0.007,0,0.034,0,12.457,34.522,524288,2146955264,2884.817,14460.780,1653984622.128,31-05 12:40:22
32.360,12.380,5.290,10.142,3.688,85.163,1.006,0,5535358976,5587980288,499027968,4919824384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30818304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,524288,2146955264,8426,20868,1653984623.129,31-05 12:40:23
32.360,12.380,5.290,48.576,34.841,16.583,0,0,7969943552,3149991936,499044352,4907515904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,524288,2146955264,21218,69229,1653984624.129,31-05 12:40:24
32.360,12.380,5.290,54.836,38.099,7.065,0,0,10300067840,819040256,499077120,4890419200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,524288,2146955264,23762,73884,1653984625.129,31-05 12:40:25
32.360,12.380,5.290,43.592,43.676,12.732,0,0,7972077568,3146883072,499077120,4890808320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,2146955264,22235,85095,1653984626.128,31-05 12:40:26
39.370,14.170,5.910,47.925,46.232,5.843,0,0,5719334912,5402431488,499077120,4891234304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,2146955264,25280,90374,1653984627.129,31-05 12:40:27
39.370,14.170,5.910,50.876,40.033,9.091,0,0,5680148480,5443002368,499077120,4891566080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,2146955264,25004,84212,1653984628.128,31-05 12:40:28
39.370,14.170,5.910,49.123,41.771,9.106,0,0,5604216832,5518942208,499077120,4891803648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,2146955264,26036,86797,1653984629.128,31-05 12:40:29
39.370,14.170,5.910,50.209,39.432,10.359,0,0,5508726784,5614223360,499089408,4892037120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,524288,2146955264,24941,86200,1653984630.129,31-05 12:40:30
